id,title,genre,description
0,Toy Story,Animation|Children's|Comedy,Toy Story is a computer-animated comedy film that tells the story of a group of toys belonging to a young boy named Andy.
1,Jumanji,Adventure|Children's|Fantasy,"<Jumanji>  is a fantasy adventure film about a magical board game that unleashes wild and dangerous jungle creatures upon a small town when two siblings, Peter and Judy, start playing it."
2,Grumpier Old Men,Comedy|Romance,"<Grumpier Old Men> is a comedy film about two lifelong friends, Max and John, who have been feuding for years over a woman."
3,Waiting to Exhale,Comedy|Drama,<Waiting to Exhale> is a 1995 American romantic drama film that follows the lives of four African-American women and their relationships with men.
4,Father of the Bride Part II,Comedy,<Father of the Bride Part II > is a comedy film about a man named George Banks who finds out that he is going to be a grandfather while also dealing with the news that his wife is pregnant.
5,Heat,Action|Crime|Thriller,Heat  is a crime drama film directed by Michael Mann.
6,Sabrina,Comedy|Romance,<Sabrina>  is a romantic comedy-drama film about a chauffeur's daughter named Sabrina Fairchild who falls in love with the younger son of the wealthy family she works for.
7,Tom and Huck,Adventure|Children's,<Tom and Huck > is a movie adaptation of Mark Twain's classic novel <The Adventures of Tom Sawyer>.
8,Sudden Death,Action,<Sudden Death> is a 1995 action-thriller film starring Jean-Claude Van Damme.
9,GoldenEye,Action|Adventure|Thriller,"GoldenEye  is a James Bond film that follows the story of 007, who is tasked with stopping a former MI6 agent, Alec Trevelyan, from using a powerful satellite weapon called GoldenEye to cause a global financial meltdown."
10,"American President, The",Comedy|Drama|Romance,"<The American President> is a romantic comedy-drama film that follows the story of a widowed US President, Andrew Shepherd, who falls in love with a lobbyist named Sydney Ellen Wade."
11,Dracula: Dead and Loving It,Comedy|Horror,<Dracula: Dead and Loving It> is a comedy film directed by Mel Brooks.
12,Balto,Animation|Children's,"<Balto > is an animated movie that tells the story of a half-wolf, half-husky named Balto who lives in the town of Nome, Alaska."
13,Nixon,Drama,"<Nixon> is a biographical drama film that explores the life and political career of Richard Nixon, the 37th President of the United States."
14,Cutthroat Island,Action|Adventure|Romance,<Cutthroat Island> is an action-adventure film about a female pirate named Morgan Adams who sets out on a quest to find a hidden treasure that her father left behind before he died.
15,Casino,Drama|Thriller,"<Casino> is a crime drama film directed by Martin Scorsese, released in 1995."
16,Sense and Sensibility,Drama|Romance,<Sense and Sensibility> is a movie based on Jane Austen's novel of the same name.
17,Four Rooms,Thriller,<Four Rooms> is a 1995 comedy anthology film that follows a bellhop named Ted who works at a quirky hotel on New Year's Eve.
18,Ace Ventura: When Nature Calls,Comedy,Ace Ventura: When Nature Calls is a comedy movie released in 1995 and is a sequel to the 1994 movie Ace Ventura: Pet Detective.
19,Money Train,Action,<Money Train> is an action-comedy film released in 1995.
20,Get Shorty,Action|Comedy|Drama,<Get Shorty> is a crime-comedy film directed by Barry Sonnenfeld.
21,Copycat,Crime|Drama|Thriller,<Copycat > is a psychological thriller movie about a criminal psychologist named Dr.
22,Assassins,Thriller,<Assassins> is a 1995 action thriller movie directed by Richard Donner.
23,Powder,Drama|Sci-Fi,The movie <Powder > is about a young albino man named Powder who possesses incredible powers of telekinesis and empathy.
24,Leaving Las Vegas,Drama|Romance,"<Leaving Las Vegas> is a 1995 drama film about an alcoholic screenwriter named Ben Sanderson, who loses everything due to his addiction."
25,Othello,Drama,<Othello > is a movie adaptation of William Shakespeare's play of the same name.
26,Now and Then,Drama,<Now and Then> is a coming-of-age movie that follows four childhood friends who reunite as adults to reminisce about their shared experiences growing up in the 1970s.
27,Persuasion,Romance,<Persuasion > is a British romantic drama film based on Jane Austen's novel of the same name.
28,"City of Lost Children, The",Adventure|Sci-Fi,"The movie <City of Lost Children> is a surreal and dark fantasy film about a mad scientist who kidnaps children in order to steal their dreams, and a young girl named Miette who teams up with a circus strongman named One to rescue her little brother from the scientist's clutches."
29,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama,<Shanghai Triad> is a Chinese crime drama film directed by Zhang Yimou.
30,Dangerous Minds,Drama,<Dangerous Minds> is a 1995 drama film about a former U.
31,Twelve Monkeys,Drama|Sci-Fi,<Twelve Monkeys> is a science-fiction thriller movie directed by Terry Gilliam.
32,Wings of Courage,Adventure|Romance,"<Wings of Courage> is a 1995 adventure drama film that tells the story of the French aviator Henri Guillaumet, who became lost in the Andes Mountains during a mail delivery flight in 1930."
33,Babe,Children's|Comedy|Drama,<Babe> is a heartwarming family movie about a pig named Babe who dreams of becoming a sheepdog.
34,Carrington,Drama|Romance,<Carrington> is a biographical drama film released in 1995.
35,Dead Man Walking,Drama,<Dead Man Walking> is a 1995 American crime drama film directed by Tim Robbins.
36,Across the Sea of Time,Documentary,"<Across the Sea of Time> is a 1995 American drama film that tells the story of a young Russian boy named Pasha, who travels to New York City in search of his long-lost relatives."
37,It Takes Two,Comedy,"<It Takes Two> is a 1995 movie about two identical girls, Amanda and Alyssa, who meet at a summer camp and decide to switch places to try and bring their single parents together."
38,Clueless,Comedy|Romance,"<Clueless> is a coming-of-age comedy film that follows the life of Cher Horowitz, a popular and wealthy teenage girl living in Beverly Hills."
39,"Cry, the Beloved Country",Drama,"<Cry, the Beloved Country> is a 1995 drama film set in South Africa during the apartheid era."
